Re,K,f
56237759.712348334,0.012529863963667263,0.04141359801278819
12681.926129583702,3.897857219662623e-05,0.030633440970617706
110166.67057769831,6.658151032786924e-06,0.019417507057779743
490.3044612732987,6.524700330836051e-06,0.13915545983112176
62982623.43352512,0.013762491471473294,0.04136291516518061
54602168.49245033,0.00010734466048415356,0.011883420008185078
51448727.856009275,0.0005533179109921062,0.01735433825973653
592.8518619254565,1.0339151400816222e-06,0.10451429936256962
7587.6128447596575,2.393106044404121e-06,0.03171977427295511
51786.2683582714,0.022649651897803005,0.05066947732995811
126.51005361541502,0.001971543883031118,0.5261107865952235
108170.00679146149,0.0017487012427612665,0.022412170198907573
73987.5911603867,6.64527708328851e-05,0.02036628566448647
3192393.99994803,1.8030848377041987e-06,0.009963313495275362
524310.474349974,0.04358748346193943,0.06363009425364116
71739.11865083716,3.358570158457001e-05,0.019856216917493928
1390.2199930187983,0.00043135669243172067,0.0430410250123186
87416.16574259991,0.00036506813759685987,0.021975970669432517
109128.96246717339,0.0013008266907632905,0.022822604561067838
5099628.993128901,2.9893365417653483e-05,0.01080234125784656
265102.69321599463,5.588505108744593e-05,0.014502530833401658
32394799.33136852,6.246239502285368e-06,0.008335286267177396
1953011.9048596087,1.1295275352211313e-06,0.009638938186182652
469.03274919304204,0.0032526267985101033,0.1435420954149744
16993.227175433385,1.4212777873544885e-05,0.029091331814422607
5227.330980304541,0.0016351880344724608,0.04143905704720551
1980.3929717455733,4.020818182075622e-05,0.03245398821094178
16324295.378149297,0.00033433074902601816,0.014970119176562758
5170.400076195881,2.305247758134547e-05,0.035875192094029416
10803028.480671328,7.744836070558267e-06,0.008027033391402672
15308.810812775158,2.8770399681819356e-05,0.030198348375865762
191.60958290259498,0.01912150439431376,0.3293592470248637
1873.6387988629474,0.0019231334208914697,0.03720002717657806
14286088.277159767,1.8319335666142755e-06,0.00816939354441463
45731.71831754117,1.0929155295238988e-06,0.021179116484478785
8483414.421351423,0.028450402639629505,0.05520172960858993
1380349.7270784392,2.3799189175793185e-05,0.01073646584562642
19065146.709047202,0.013639335947094858,0.04544953998682092
566502.2468059458,2.884547638481122e-05,0.013222577231905671
16767515.17974633,5.423536275095093e-05,0.010632230047436962
1873.9900397077631,0.03211074565175147,0.03702019168296616
1060.9704604351073,0.003850285902113755,0.06130747293703655
465.93647338623543,0.00030087440183604097,0.13306434925062913
131.7162919487272,1.4827071304889624e-05,0.5357854865111267
11006392.761021173,0.0026216050622213994,0.02527336008725344
3248893.8844281635,3.769769269009038e-05,0.010397235152550312
4958585.405079141,0.013677167293821813,0.04234142526154845
5118355.851783691,3.5144558978851813e-05,0.010636009718505297
1236802.2402831027,0.00237285566876429,0.023023365698768575
1252.9290252231292,0.03941078229869927,0.050275365074551936
114383.23435197228,3.83708653107114e-05,0.01703094827459888
14210.51539678815,5.795864350619947e-06,0.0269340690918222
2610611.559388402,0.001452957117780096,0.022948232486467553
24443.698848393404,6.081299538933893e-06,0.025073853365325596
21884.444671673395,0.0043280613977448815,0.032336688075615516
3786212.927367477,1.068000124727495e-06,0.009820472076374836
1136653.648180283,0.000316844515444398,0.016010990272032972
8940.028426405705,0.023812018165859157,0.0590522326378758
11730.48245556388,2.888889997189974e-06,0.02735361018679535
258559.11686168733,4.708079208168715e-06,0.013422549502661755
48302276.18120285,8.134335651223718e-05,0.010649929977053461
74246121.02728677,0.0037966864528496923,0.029828896626640965
22868027.03514551,0.0036224708615997443,0.027159598732922827
5731735.646932452,3.0356869229119572e-05,0.010092986958499544
134616.37970171103,2.7081784581427117e-05,0.017951992515986837
10312.334602284487,2.2284532417114344e-06,0.030032723195908738
87442043.21300681,0.01071999345197887,0.03866502987493865
207.584403514536,4.5040693323650854e-05,0.30704666717416657
44838.90063796417,0.0010890292562838928,0.024175288967770422
86677.31157605583,2.042096913832923e-06,0.01838132657190828
861644.7984523751,0.0015689266522410175,0.024303650282911565
11563008.185931122,2.5982091720471485e-05,0.009835643254143406
2650.9450533127347,0.04976368944687635,0.07377705225973494
6307.709078744983,0.041398856416171796,0.06864669591745082
103193.21439443668,2.4931655679346293e-05,0.01875706473682484
1247013.9787500876,0.0007926402871540695,0.01838460149052664
1544091.9963408217,0.0007597347427379594,0.019390355771507176
215.2354924860241,1.7447261697093026e-05,0.2890177370249223
129.3245274966579,0.0027948162605794294,0.5123827824110836
105.99844166970541,0.0005211521074993751,0.5675621231967202
3228.057531433971,3.825372303656557e-05,0.03919195677573548
1167575.560149729,0.0052746080137523535,0.031013847414027483
4555.171694011891,0.0007042764684222133,0.036775070673318755
97777.26499911703,0.0006503616698178813,0.018565174148926257
105.34743032657194,0.0001335474460758742,0.6393155965127034
620.9675540196725,4.732776188835251e-06,0.10281501146403375
307632.60480289627,3.1553620155936344e-06,0.014446872827427022
80797.28991284547,2.3293634667418784e-06,0.018916002702664293
18477519.353630267,0.04468499341328304,0.07539431223932012
66689529.72285034,1.3145059067559372e-05,0.008911959730356531
134.61530488321546,0.01929218364793601,0.5114110269833556
58110.362804416436,4.773955402735472e-05,0.020151805475076726
928294.155186447,0.014124532919705382,0.037278182695212214
4045.4262714899455,3.876559125162434e-06,0.03739100600456404
518544.24961324036,0.004091323768492457,0.030672612139600486
7863686.065182452,0.007219816309877633,0.035904272422080295
19749.082208132368,0.010028287942131175,0.041562047285197974
201.23734561199478,7.954972306575521e-05,0.324495401367045
636890.8417939531,5.170498674059822e-06,0.012514462930187204
62088950.74529921,0.00015687952311081529,0.01302182223349522
633.8729672287293,0.0004792632254336759,0.09907492352552313
603880.2841510279,5.779894243466611e-06,0.012630924490389923
38765889.87744914,0.006765469255520003,0.033025551656012224
137.574609410725,8.822763756935364e-06,0.4605132764947333
1066.0465335528352,0.0024326669778657207,0.059153274068154196
787.6466114549435,0.001374727967668491,0.07740375780805228
1717446.6760438771,2.0663103630752524e-05,0.01018282076985593
165671.16243444735,0.01681106956139257,0.04397358480635864
9456093.168952618,0.004031489046501277,0.030497165266004163
14195.95767097128,0.002661160629238647,0.03209110145992207
930772.9499484301,0.019965594727834907,0.05006932959314787
33501585.882001057,0.0010910747984356785,0.020480584418262004
135217.99355908937,0.04851840884554112,0.07023544286162872
1364573.0767326031,0.0005938538549906229,0.018426966689096894
50206.5169859265,1.371890511064944e-06,0.02228876339936304
2427813.3968822113,5.647569445995864e-05,0.011431750635824092
1914.8713688245032,2.850953904464898e-05,0.03794240126119221
3807478.365505112,3.7710448419447926e-05,0.010302879761758827
7864.512155191832,3.457693623328339e-05,0.0321567098941018
22651621.149521943,0.00421471442558384,0.029557076989789995
4662926.41161146,0.00039139754239028105,0.015316032745138762
261.5572990314013,8.693088694712582e-05,0.24597862083717942
1597.3131265314225,2.3227618045302896e-06,0.04115480327686089
5771752.983070081,0.0018261245355317682,0.02212836875446373
334223.90650283,0.00018990148036954893,0.01589517645120261
103.88572202213439,0.0016069697621413966,0.5886978383555508
12685020.344086057,0.0019008182078736364,0.020982474727613467
22305046.61099702,0.0018846516369193885,0.02322519273385584
944.4507072669427,1.3231182453462113e-05,0.060387340743369794
